"id","mz","diff","reference","formula","formula_isotopefree","formula_ion","homseries","totalc","H.C","O.C","C","H","O","N","S","P","Cl","Na","C13","O18","N15","S34","Cl37","Co","Cu.i","Cu.ii","Cu65.i","Cu65.ii","Fe.ii","Fe.iii","Fe54.ii","Fe54.iii","Br79","Br81","Ni.ii","Ni60.ii","Zn.ii","Zn66.ii","I","MDL_1.5","ResPow","m1","SE","present_in","AI","AI.mod","DBE","Aromatic","Aromatic.O_rich","Aromatic.O_poor","Highly.unsaturated","Highly.unsaturated.O_rich","Highly.unsaturated.O_poor","Unsaturated","Unsaturated.O_rich","Unsaturated.O_poor","Unsaturated.with.N","Saturated","Saturated.O_rich","Saturated.O_poor","mean_signal_to_MDL","isoratioC13.1","isoratioC13.2","isoratio_O18","isoratioS34","isoratioN15","isoratioBr81.1","isoratioBr81.2","isoratioCu.i_65","isoratioCu.ii_65","isoratioFe.ii_54","isoratioFe.iii_54","isoratioZn.ii_66","isoratioNi.ii_60","isoratioCl37","isorat_sdC13.1","isorat_sdC13.2","isorat_sd_O18","isorat_sd_S34","isorat_sd_N15","homnetworkmember","mean_of_ratio_deviance","diff_filter","alternative_formula","Sample1_A12-TH1-36.csv","Sample2_A12-TH1-37.csv","Sample3_A12-03_1.csv","Sample4_A12-04_1.csv","Sample5_A12-05_1.csv","Sample6_A12-06_1.csv","Sample7_A12-07_1.csv","Sample8_A12-09_1.csv","Sample9_A12-11_1.csv","Sample10_A12-12_1.csv","Sample11_A12-15_1.csv","Sample12_A12-16_1.csv","Sample13_A12-17_1.csv","Sample14_A12-18_1.csv","Sample15_A12-20_1.csv","Sample16_A12-21_1.csv","Sample17_A12-22_1.csv","Sample18_A12-24_1.csv","Sample19_A12-TH-32_1.csv","Sample20_A12-TH-35_1.csv","Sample21_A12-TH1-23_1.csv","Sample22_A12-TH1-25_1.csv","Sample23_A12-TH1-26_1.csv","Sample24_A12-TH1-27_1.csv","Sample25_A12-TH1-28_1.csv","Sample26_A12-TH1-29_1.csv","Sample27_A12-TH1-31_1.csv","Sample28_A12-Top33_1.csv"
0,497.139595560845,0.2989018,498.146723095,"C_33 H_22 O_5","C33H22O5","C_33 H_21 O_5",1,33,0.667,0.152,33,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,0,497.139552012932,0.564503823842731,6,0.64,0.67,23,1,0,1,0,0,0,0,0,0,0,0,0,0,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,198.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.6,NA,194.9,NA,NA,411.6,343.3,NA,NA,404,NA
0,497.140375821365,0.1499535,498.147726952,"C_23 H_31 O_8 S_1 P_1","C23H31O8PS","C_23 H_30 O_8 S_1 P_1",1,23,1.348,0.348,23,31,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,0,497.140306523526,0.32981275844077,5,0,0.18,9,0,0,0,1,0,1,0,0,0,0,0,0,0,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,163.4,NA,NA,NA,NA,NA,518.3,406.8,NA,184.7
0,497.158031748591,0.3533165,498.16548419,"C_23 H_31 O_10 P_1","C23H31O10P","C_23 H_30 O_10 P_1",1,23,1.348,0.435,23,31,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,0,497.157965047891,0.750609806436065,24,0,0.18,9,0,0,0,1,0,1,0,0,0,0,0,0,0,7.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,Inf,TRUE,"C_34 H_26 O_2 S_1",NA,NA,482.3,NA,478.2,573.9,452.3,251.7,257.4,810.8,NA,220.6,354,745.1,1269.6,529.5,746.6,1365.9,793.5,952.5,183,1635.2,1776.5,1652.5,1691.7,1032.1,2714.4,842.1
0,497.158031748591,0.283161,498.165167119,"C_26 H_22 O_5 N_6","C26H22N6O5","C_26 H_21 O_5 N_6",3,26,0.846,0.192,26,22,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,0,497.157965047891,0.750609806436065,24,0.53,0.6,19,1,0,1,0,0,0,0,0,0,0,0,0,0,7.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3036,Inf,FALSE,NA,NA,NA,482.3,NA,478.2,573.9,452.3,251.7,257.4,810.8,NA,220.6,354,745.1,1269.6,529.5,746.6,1365.9,793.5,952.5,183,1635.2,1776.5,1652.5,1691.7,1032.1,2714.4,842.1
0,497.158031748591,0.0864332,498.165351238,"C_34 H_26 O_2 S_1","C34H26O2S","C_34 H_25 O_2 S_1",1,34,0.765,0.059,34,26,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,0,497.157965047891,0.750609806436065,24,0.61,0.62,22,1,0,1,0,0,0,0,0,0,0,0,0,0,7.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684,Inf,TRUE,"C_34 H_26 O_2 S_1",NA,NA,482.3,NA,478.2,573.9,452.3,251.7,257.4,810.8,NA,220.6,354,745.1,1269.6,529.5,746.6,1365.9,793.5,952.5,183,1635.2,1776.5,1652.5,1691.7,1032.1,2714.4,842.1
-1,497.166056420239,0.2413317,498.173212627,"C_36 H_22 O_1 N_2","C36H22N2O","C_36 H_21 O_1 N_2",25,36,0.611,0.028,36,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,4632.16,497.166002542473,0.669638270409148,25,0.73,0.73,27,1,0,1,0,0,0,0,0,0,0,0,0,0,20.48,-486.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6595600047745,NA,NA,NA,NA,2200,486.56,FALSE,NA,NA,NA,797.2,NA,1469.4,1631.3,1130.4,1427.9,1397.4,1762.7,122.5,1170.5,1414,3948.5,3340.2,1814.8,2905.3,3854.4,3005.3,3104.1,1008,3635.4,3918.6,3349.4,4219.6,2521.7,5454.5,1935.1
0,497.194313773358,0.0756822,498.2015525,"C_27 H_26 O_4 N_6","C27H26N6O4","C_27 H_25 O_4 N_6",3,27,0.963,0.148,27,26,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,3812.66666666667,497.194244676198,0.880211244685115,24,0.47,0.53,18,1,0,1,0,0,0,0,0,0,0,0,0,0,5.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3070,Inf,TRUE,"C_35 H_30 O_1 S_1",NA,NA,342.5,141.4,339.9,431.8,296.8,179.9,174.4,746.5,NA,197.4,239.4,NA,924.2,254,530.9,896.5,386,720.2,181.5,1278.1,1302.9,1068.9,1306.8,794.6,2034.4,546.1
0,497.194313773358,0.2938851,498.201736619,"C_35 H_30 O_1 S_1","C35H30OS","C_35 H_29 O_1 S_1",3,35,0.857,0.029,35,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,3812.66666666667,497.194244676198,0.880211244685115,24,0.58,0.58,21,1,0,1,0,0,0,0,0,0,0,0,0,0,5.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,Inf,TRUE,"C_35 H_30 O_1 S_1",NA,NA,342.5,141.4,339.9,431.8,296.8,179.9,174.4,746.5,NA,197.4,239.4,NA,924.2,254,530.9,896.5,386,720.2,181.5,1278.1,1302.9,1068.9,1306.8,794.6,2034.4,546.1
0,497.217042557872,0.3580114,498.224140619,"C_32 H_36 O_1 P_2","C32H36OP2","C_32 H_35 O_1 P_2",1,32,1.125,0.031,32,36,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,0,497.217046387986,0.18805779476382,3,0.45,0.46,16,0,0,0,1,0,1,0,0,0,0,0,0,0,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373,Inf,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.4,NA,NA,NA,305.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.3,NA,NA
0,497.217990972074,0.1998052,498.225366952,"C_28 H_34 O_8","C28H34O8","C_28 H_33 O_8",2,28,1.214,0.286,28,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.864928684598,0,497.21791418853,0.795326550526294,16,0.2,0.33,12,0,0,0,1,0,1,0,0,0,0,0,0,0,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,Inf,FALSE,NA,NA,155.6,137.2,NA,190.1,198.5,NA,NA,121.9,NA,NA,143.7,192.8,NA,324.2,NA,NA,254.9,NA,260.7,NA,301.3,494.3,241.2,502.8,NA,523.6,209.4
